x,y
3975.02,4.7048446302e-06
3974.97,3.2368916151e-06
3974.92,1.20395961972e-06
3974.87,2.42291883834e-06
3974.8199999999997,3.77387407254e-06
3974.77,5.1958274081999995e-06
3974.72,7.584740334599999e-07
3974.6583333333333,8.6947015584e-07
3974.5966666666664,5.4028205088e-06
3974.535,2.97490089468e-06
3974.4733333333334,2.45991784896e-06
3974.4116666666664,2.64291159132e-06
3974.35,3.32088845946e-06
3974.29,3.04489856814e-06
3974.23,1.32495501996e-06
3974.17,3.52288169376e-06
3974.1099999999997,4.05286433838e-06
3974.0499999999997,2.88290335476e-06
3973.99,2.9319020444999998e-06
3973.93,1.87393715652e-06
3973.87,2.41691899878e-06
3973.81,2.26892432052e-06
3973.75,1.84793785176e-06
3973.69,2.5069156827e-06
3973.63,2.43091862442e-06
3973.57,3.35688704208e-06
3973.51,2.9619012423e-06
3973.45,2.43691846398e-06
3973.39,2.72690889042e-06
3973.33,1.73494132812e-06
3973.27,1.8419380121999999e-06
3973.21,2.3949200418e-06
3973.15,1.81993860048e-06
3973.09,1.78893988416e-06
3973.0299999999997,3.4598842878599997e-06
3972.97,3.36588725616e-06
3972.91,2.74090806132e-06
3972.85,2.6359117785e-06
3972.79,1.8579380391e-06
3972.73,1.35295427124e-06
3972.67,3.38488720284e-06
3972.61,3.2128927115999997e-06
3972.55,1.4189525064e-06
3972.4883333333337,2.83690503954e-06
3972.4266666666667,2.01593199522e-06
3972.365,1.17596036844e-06
3972.3033333333333,2.66691049482e-06
3972.241666666667,1.45595106228e-06
3972.18,3.43088506332e-06
3972.12,3.37788693528e-06
3972.06,4.9508271384e-07
3972.0,4.29185612856e-06
3971.94,4.01386583598e-06
3971.88,1.7329413816e-06
3971.82,3.0698974449e-06
3971.76,1.89193622046e-06
3971.7000000000003,2.49091611054e-06
3971.6400000000003,2.15692822488e-06
3971.58,4.03386530118e-06
3971.52,5.0318299745999995e-06
3971.46,1.0619638715399999e-06
3971.4,3.25489113378e-06
3971.34,3.46188377964e-06
3971.2799999999997,1.88193739734e-06
3971.22,2.9449012421399997e-06
3971.16,1.44995167746e-06
3971.1,4.44385160934e-06
3971.04,4.50085008516e-06
3970.98,1.27595678496e-06
3970.92,2.85190463844e-06
3970.8599999999997,2.9829002260199998e-06
3970.7999999999997,3.0388987285799997e-06
3970.74,3.81787244124e-06
3970.68,3.44488423422e-06
3970.62,1.22795852322e-06
3970.56,1.20895948602e-06
3970.5,1.51094913684e-06
3970.44,1.99593298476e-06
3970.38,3.95086706586e-06
3970.32,2.77690709868e-06
3970.26,2.6229116713799997e-06
3970.2,1.21895876388e-06
3970.14,2.48591715372e-06
3970.08,5.6598122723999995e-06
3970.02,1.5459477462e-06
3969.9583333333335,2.47491744786e-06
3969.8966666666665,3.2138926848599997e-06
3969.835,2.24692445406e-06
3969.7733333333335,4.31185559376e-06
3969.7116666666666,2.08192977564e-06
3969.65,1.18496012778e-06
3969.59,1.0249657704e-06
3969.53,3.18889335336e-06
3969.4700000000003,2.4979163781e-06
3969.41,2.2929173124e-07
3969.35,3.18189354054e-06
3969.29,4.37685340092e-06
3969.23,5.4998165508e-06
3969.17,3.47088353898e-06
3969.1099999999997,2.85690450474e-06
3969.0499999999997,4.18485944448e-06
3968.99,1.44695175768e-06
3968.93,2.1309284653799998e-06
3968.87,1.6699439757e-06
3968.81,1.3489548329399999e-06
3968.75,2.81690557434e-06
3968.69,2.65891116348e-06
3968.63,3.00589915626e-06
3968.57,1.9659342417e-06
3968.51,2.05193148732e-06
3968.4500000000003,2.61691228656e-06
3968.3900000000003,3.35288851326e-06
3968.33,2.08992956172e-06
3968.27,5.5708105596e-07
3968.21,2.5379153085e-06
3968.15,3.28788979662e-06
3968.09,2.10492961536e-06
3968.0299999999997,5.656806441e-07
3967.97,2.28192351816e-06
3967.91,3.33488853984e-06
3967.85,2.76790733934e-06
3967.7883333333334,2.05593092562e-06
3967.7266666666665,9.2676830532e-07
3967.665,3.7348751154e-06
3967.6033333333335,1.07596395192e-06
3967.5416666666665,3.7578713172e-07
3967.48,3.52488209502e-06
3967.42,1.32295507344e-06
3967.36,3.26989073268e-06
3967.3,2.08992956172e-06
3967.24,8.5437096888e-07
3967.18,2.76190704504e-06
3967.12,3.31488907464e-06
3967.06,4.679843025e-06
3967.0,1.9749335463e-06
3966.94,1.63894525938e-06
3966.88,1.76994084696e-06
3966.82,1.31395576884e-06
3966.76,3.5218817205e-06
3966.7000000000003,1.9049358728399999e-06
3966.6400000000003,1.46695076814e-06
3966.58,6.5967722106e-07
3966.52,4.513794714e-08
3966.46,2.3709211383e-06
3966.4,2.06293073844e-06
3966.34,1.8379385738999999e-06
3966.28,2.24492450754e-06
3966.2200000000003,2.65791073548e-06
3966.16,3.0938963484e-06
3966.1,2.19592627254e-06
3966.04,1.79393975046e-06
3965.98,2.84690477214e-06
3965.92,1.7029421838e-06
3965.8599999999997,1.93393509738e-06
3965.7999999999997,2.1119289734399998e-06
3965.74,6.2337851004e-07
3965.68,2.265923946e-06
3965.6183333333333,3.64887832452e-06
3965.5566666666664,2.97190052016e-06
3965.495,3.41788586568e-06
3965.4333333333334,2.8479047454e-06
3965.3716666666664,1.86593737044e-06
3965.31,3.2658908396399997e-06
3965.25,4.37085447084e-06
3965.19,3.34888771074e-06
3965.13,2.75290774044e-06
3965.0699999999997,2.27792362512e-06
3965.0099999999998,6.4157811432e-07
3964.95,-4.674840885e-07
3964.89,9.9396659934e-07
3964.83,2.62591159116e-06
3964.77,2.3469217800599997e-06
3964.71,2.79190624284e-06
3964.65,3.7018755430799997e-06
3964.59,4.29385652982e-06
3964.53,9.8196692022e-07
3964.4700000000003,-2.413919079e-07
3964.41,2.22492549708e-06
3964.35,2.32792183338e-06
3964.29,2.47191707334e-06
3964.23,1.3729537364399999e-06
3964.17,1.70094314676e-06
3964.11,2.2419250425e-06
3964.05,2.43691846398e-06
3963.99,2.72690889042e-06
3963.93,6.8527635462e-07
3963.87,2.77790707194e-06
3963.81,3.62987883258e-06
3963.75,3.4938829239599997e-06
3963.69,3.9278690451e-06
3963.63,1.4449513564199999e-06
3963.57,1.45495154376e-06
3963.51,1.49794948446e-06
3963.4483333333337,3.33588805836e-06
3963.3866666666668,4.06386449898e-06
3963.325,2.7129088100399997e-06
3963.2633333333333,2.0449316744999998e-06
3963.201666666667,1.78294049934e-06
3963.14,2.3599209777e-06
3963.08,1.68294317334e-06
3963.02,1.49494956468e-06
3962.96,3.4588797672e-07
3962.9,-9.240635118e-08
3962.84,1.30595598276e-06
3962.78,3.66987730824e-06
3962.7200000000003,3.41688543768e-06
3962.6600000000003,1.84393795872e-06
3962.6000000000004,3.50588260308e-06
3962.54,2.70190864944e-06
3962.48,2.94590076066e-06
3962.42,2.45091808962e-06
3962.36,3.81587203998e-06
3962.3,4.628843934e-06
3962.24,1.2549573465e-06
3962.18,3.34488827244e-06
3962.12,1.1369614113e-06
3962.06,1.16296071606e-06
3962.0,4.8538401911999995e-06
3961.94,1.9039358995799999e-06
3961.88,2.37592054986e-06
3961.8199999999997,3.46588321794e-06
3961.7599999999998,1.76394055266e-06
3961.7,3.9558651132e-07
3961.64,2.25992410644e-06
3961.58,2.66291060178e-06
3961.52,3.5138805702e-07
3961.46,3.3858862666199997e-06
3961.4,1.81593870744e-06
