x,y
3975.02,9.4796805675e-07
3974.97,1.4369517977099999e-06
3974.92,2.10392986947e-06
3974.87,1.1379618393e-06
3974.8199999999997,8.4247155993e-07
3974.77,1.31795588925e-06
3974.72,6.898765044599999e-07
3974.6583333333333,1.1999599540499999e-06
3974.5966666666664,1.36195448532e-06
3974.535,1.1009630560499999e-06
3974.4733333333334,1.23195864363e-06
3974.4116666666664,1.4039531348699999e-06
3974.35,1.5469481742e-06
3974.29,1.05296456694e-06
3974.23,1.11496268169e-06
3974.17,1.46895094203e-06
3974.1099999999997,1.19895975342e-06
3974.0499999999997,8.1327247716e-07
3973.99,9.5136814773e-07
3973.93,1.03996514193e-06
3973.87,1.41695255988e-06
3973.81,1.9749340010399998e-06
3973.75,1.36695435162e-06
3973.69,1.7399418765299999e-06
3973.63,1.61894602155e-06
3973.57,1.68894346764e-06
3973.51,1.96393452255e-06
3973.45,1.30595621013e-06
3973.39,1.45295091513e-06
3973.33,1.14596185275e-06
3973.27,1.30995633054e-06
3973.21,1.51294931073e-06
3973.15,1.00796599761e-06
3973.09,1.1289623073299999e-06
3973.0299999999997,8.185724718599999e-07
3972.97,1.2509579081999999e-06
3972.91,1.21595952621e-06
3972.85,1.3549546725e-06
3972.79,1.32795539448e-06
3972.73,7.269755578799999e-07
3972.67,1.09096355082e-06
3972.61,1.45895098206e-06
3972.55,1.42595231922e-06
3972.4883333333337,9.6786747915e-07
3972.4266666666667,9.995662677e-07
3972.365,7.8547331148e-07
3972.3033333333333,7.822737608399999e-07
3972.241666666667,1.28995686534e-06
3972.18,9.5536804077e-07
3972.12,8.9916990735e-07
3972.06,1.05796443324e-06
3972.0,1.5169492037699999e-06
3971.94,1.17896051559e-06
3971.88,7.5657458448e-07
3971.82,1.45495154376e-06
3971.76,1.26995762751e-06
3971.7000000000003,9.147693083099999e-07
3971.6400000000003,1.0749639786599999e-06
3971.58,1.5639479469899999e-06
3971.52,1.36195448532e-06
3971.46,1.11596265495e-06
3971.4,1.58994679701e-06
3971.34,1.42595231922e-06
3971.2799999999997,1.00796599761e-06
3971.22,1.01096614476e-06
3971.16,1.0489649012699999e-06
3971.1,5.1928238505e-07
3971.04,1.2069595394999999e-06
3970.98,1.5709470777e-06
3970.92,8.9276989659e-07
3970.8599999999997,1.43995194486e-06
3970.7999999999997,1.61694562029e-06
3970.74,1.55994782658e-06
3970.68,1.37195421792e-06
3970.62,7.1097621309e-07
3970.56,1.21695904473e-06
3970.5,1.40695282728e-06
3970.44,1.26995762751e-06
3970.38,9.3146872533e-07
3970.32,9.0666947943e-07
3970.26,1.49994988572e-06
3970.2,1.42295217207e-06
3970.14,1.96293432192e-06
3970.08,1.6599444704699999e-06
3970.02,1.06996411236e-06
3969.9583333333335,1.64894476461e-06
3969.8966666666665,1.27195734666e-06
3969.835,1.1089626147599999e-06
3969.7733333333335,1.52894865552e-06
3969.7116666666666,1.29395653101e-06
3969.65,7.881735576e-07
3969.59,1.08996357756e-06
3969.53,1.26995762751e-06
3969.4700000000003,8.4627159474e-07
3969.41,1.43095195815e-06
3969.35,1.66794402918e-06
3969.29,7.8997341852e-07
3969.23,1.03396530237e-06
3969.17,7.8037362975e-07
3969.1099999999997,9.6706759149e-07
3969.0499999999997,1.60794608832e-06
3968.99,9.1486935111e-07
3968.93,1.70794273221e-06
3968.87,1.88893698279e-06
3968.81,1.47495055422e-06
3968.75,2.02793190171e-06
3968.69,1.1289623073299999e-06
3968.63,6.060797457e-07
3968.57,1.06396450017e-06
3968.51,1.31295579558e-06
3968.4500000000003,1.40595285402e-06
3968.3900000000003,1.24395832275e-06
3968.33,1.30295629035e-06
3968.27,8.9326988322e-07
3968.21,1.04296483434e-06
3968.15,1.52794845489e-06
3968.09,9.3856858095e-07
3968.0299999999997,6.1087929903e-07
3967.97,7.7077406835e-07
3967.91,1.17996048885e-06
3967.85,1.16096099691e-06
3967.7883333333334,1.1229622404e-06
3967.7266666666665,8.065730201099999e-07
3967.665,6.6787732011e-07
3967.6033333333335,1.5819472382999999e-06
3967.5416666666665,1.54594820094e-06
3967.48,9.558680274e-07
3967.42,9.4576802463e-07
3967.36,8.326721402999999e-07
3967.3,6.4577832033e-07
3967.24,5.894801441099999e-07
3967.18,1.24295857686e-06
3967.12,1.34595491316e-06
3967.06,1.11596265495e-06
3967.0,8.607709796399999e-07
3966.94,8.289721482899999e-07
3966.88,1.57994729178e-06
